verb	verb_id	object	sentence	phrase
showed	21	levels	In contrast , norepinephrine in all areas , and DOPAMINE in areas other than the striatum , SHOWED the lowest LEVELS in 30-day-old rats , with levels increasing gradually after this age .	...dopamine in areas other than the striatum , showed the lowest levels in...
increased	1	amplitude	3 . In rat ventricular myocytes in which the D4 receptor mRNA does not express , DOPAMINE ( 20 - 100 microM ) also INCREASED the ICa , L AMPLITUDE and propranolol reversed this effect .	...dopamine ( 20 - 100 microM ) also increased the ICa , L amplitude and...
inhibit	13	proliferation	Neither DOPAMINE nor the D2 agonist , LY162502 , could INHIBIT HAOSMC PROLIFERATION induced by FCS .	...dopamine nor the D2 agonist , LY162502 , could inhibit HAOSMC proliferation induced...
require	90	motif	The results suggest that DOPAMINE , Zn2 + and Cd2 + REQUIRE some common MOTIF for the current enhancement .	...dopamine , Zn2 + and Cd2 + require some common motif for...
has	4	effects	Although there is evidence that suggests that DOPAMINE ( DA ) HAS stimulatory EFFECTS on somatostatinergic transmission , it is unknown to date if DA increases the activity of the somatostatin ( SS ) receptor-effector system in the rat brain .	...dopamine ( DA ) has stimulatory effects on...
received	-1	injections	The present report determined the effects of maternal treatment with buspirone on two other neurotransmitter systems in the developing offspring of ethanol-fed dams : DOPAMINE ( DA ) and norepinephrine reuptake sites and D1 receptors in postnatal day 19 offspring of control and ethanol-fed dams , that RECEIVED daily INJECTIONS of saline or 4.5 mg/kg buspirone .	...dopamine ( DA ) and norepinephrine reuptake sites and D1 receptors in postnatal day 19 offspring of control and ethanol-fed dams , that received daily injections of...
stimulates	16	release	These data suggest that glutamate , through N-methyl-d-aspartate receptors , stimulates the release of dopamine from dopaminergic dendrites present in the substantia nigra pars reticulata , and that DOPAMINE in turn STIMULATES the RELEASE of glutamate and GABA .	...dopamine in turn stimulates the release of...
depolarize	-1	them	Serotonin , DOPAMINE , and opioid peptides hyperpolarize , and glutamate , NMDA , and acetylcholine DEPOLARIZE THEM .	...dopamine , and opioid peptides hyperpolarize , and glutamate , NMDA , and acetylcholine depolarize them ....
induced	12	reduction	Electrophysiological recordings of mitral unit activity revealed that DOPAMINE or its agonist apomorphine INDUCED a drastic REDUCTION of spontaneous firing rate of mitral cells in most cases without altering odour intensity coding properties of these cells .	...dopamine or its agonist apomorphine induced a drastic reduction of...
provide	110	influence	The catecholamines DOPAMINE ( DA ) and norepinephrine PROVIDE an essential modulatory INFLUENCE on the working memory and attentional functions of the prefrontal cortex ( PFC ) .	...dopamine ( DA ) and norepinephrine provide an essential modulatory influence on...
have	9	actions	We propose that 5-HT and DOPAMINE HAVE opposite ACTIONS as paracrine/autocrine regulators of Na(+)-Pi cotransport via opposite effects upon cAMP formation .	...dopamine have opposite actions as...
plays	3	role	In addition , the status of cerebral structures , such as the frontal-subcortical area , where DOPAMINE PLAYS an important ROLE as neurotransmitter , was evaluated in all subjects by radiological ( CT scan ) and functional ( neuropsychological tests ) studies .	...dopamine plays an important role as...
alter	39	levels	There was no difference in the amount of IL-2 administered for each course of therapy for groups A and B. Despite differences in urine flow ( milliliters per kilogram per day ) , fluid balance ( liters per day ) , and overall weight gain , prophylactic low-dose DOPAMINE did not significantly ALTER maximum plasma urea or creatinine LEVELS in group B when compared with the control group ( group A ) .	...dopamine did not significantly alter maximum plasma urea or creatinine levels in...
increases	17	system	A recent study carried out by our group demonstrated that exogenous DOPAMINE INCREASES the somatostatin ( SS ) receptor-effector SYSTEM in the rat striatum .	...dopamine increases the somatostatin ( SS ) receptor-effector system in...
had	5	activities	In contrast , DOPAMINE HAD agonist ACTIVITIES on all adrenergic receptors while it is known that dopexamine has a beta 2 agonist activity and is an inhibitor of the neuronal uptake .	...dopamine had agonist activities on...
allowed	-1	uptake	Furthermore , DOPAMINE and norepinephrine ALLOWED 55Fe UPTAKE by iron-deprived bacterial cells .	...dopamine and norepinephrine allowed 55Fe uptake by...
shape	-1	activity	This state-dependent modulation provides a mechanism by which DOPAMINE could SHAPE global striatal ACTIVITY governing the execution of motor behaviors .	...dopamine could shape global striatal activity governing...
affects	29	neurotransmission	6-OHDA-hemilesioned rats also showed a significant increase in glutamate and aspartate contralaterally , suggesting that nigrostriatal DOPAMINE AFFECTS EPN NEUROTRANSMISSION bilaterally .	...dopamine affects EPN neurotransmission bilaterally...
inhibits	0	firing	Although DOPAMINE ( DA ) usually INHIBITS FIRING of rat striatal neurons in vivo , iontophoresis of DA with low ejection currents can also potentiate glutamate-evoked activity .	...dopamine ( DA ) usually inhibits firing of...
play	6	role	Furthermore , our findings suggest that DOPAMINE does not PLAY a major ROLE in the regulation of somatostatin neurons .	...dopamine does not play a major role in...
play	6	roles	Evidence suggests that both DOPAMINE ( DA ) and glutamate ( GLU ) PLAY crucial ROLES in producing this damage .	...dopamine ( DA ) and glutamate ( GLU ) play crucial roles in...
reached	91	target	Moreover , it was shown that DHPPA also caused a so-called L-dopa-sparing effect , i.e. more administered L-dopa reached the circulation and consequently more DOPAMINE REACHED its TARGET than after administration of L-dopa alone .	...dopamine reached its target than...
inhibited	2	formation	Both DOPAMINE and serotonin , however , dose-dependently INHIBITED the FORMATION of radiolabelled TPI and PA .	...dopamine and serotonin , however , dose-dependently inhibited the formation of...
produced	7	increase	Noradrenaline ( NA ) , DOPAMINE ( DA ) , and adrenaline ( AD ) PRODUCED an INCREASE in the spontaneous glossopharyngeal nerve discharges as well as an enhancement of taste responses to various kinds of chemical stimuli , but they did not affect tactile response .	...dopamine ( DA ) , and adrenaline ( AD ) produced an increase in...
stimulated	14	activity	YM 09151 - 2 and clebopride only weakly displaced specific binding of [3H]piflutixol to D-1 sites on rat striatal membranes , and only weakly inhibited striatal DOPAMINE STIMULATED adenylate cyclase ACTIVITY , when compared with cis-flupenthixol .	...dopamine stimulated adenylate cyclase activity ,...
caused	8	relaxation	In both sphincters DOPAMINE ( DA ) and noradrenaline ( NA ) CAUSED RELAXATION followed by contraction of the circular smooth muscle , although the ability of NA to contract the PS was weak and inconsistent .	...dopamine ( DA ) and noradrenaline ( NA ) caused relaxation followed...
inhibited	2	secretion(5mM	At high concentrations DOPAMINE slightly INHIBITED hPL SECRETION(5MM : 38.6 + /- 15.0 and 10mM ; 35.7 + /- 19.0 micrograms/g wet tissue ) compared with the control ( 63.2 + /- 29.8 microgram/g wet tissue ) .	...dopamine slightly inhibited hPL secretion(5mM :...
reduced	20	release	Thus in the striatum , DOPAMINE ( 4 x 10(-4 ) M ) markedly REDUCED the RELEASE of [3H]acetylcholine ( 45 % ) .	...dopamine ( 4 x 10(-4 ) M ) markedly reduced the release of...
induce	27	change	For CG cells , acetylcholine ( ACh ) , glutamate , gamma-aminobutyric acid ( GABA ) and glycine induced remarkable increases of the [14C]2-DG uptake , while DOPAMINE did not INDUCE any CHANGE .	...dopamine did not induce any change ....
have	9	effects	Acetylcholine , norepinephrine , DOPAMINE , glycine and taurine did not HAVE any significant EFFECTS on GABA release .	...dopamine , glycine and taurine did not have any significant effects on...
pronounced	-1	serotonin	In two patients with dihydrobiopterin synthetase deficiency , the DOPAMINE , and even more PRONOUNCED the SEROTONIN , excretions are considerably reduced .	...dopamine , and even more pronounced the serotonin ,...
activates	40	Mg2	In the presence of the soluble fraction of brain , DOPAMINE ACTIVATES total , Na+,K+- , and MG2 + -ATPases .	...dopamine activates total , Na+,K+- , and Mg2 +...
cause	47	increases	( 1 ) The biogenic amines octopamine ( OCT ) , DOPAMINE ( DA ) , epinephrine ( E ) , and norepinephrine ( NE ) CAUSE dose-dependent INCREASES in both the rate and amplitude of contractions of the isolated Limulus heart-cardiac ganglion .	...dopamine ( DA ) , epinephrine ( E ) , and norepinephrine ( NE ) cause dose-dependent increases in...
suppressed	35	release	In four of the six adenomas responsive to dopamine , DOPAMINE SUPPRESSED VIP-induced GH RELEASE when perifused simultaneously .	...dopamine suppressed VIP-induced GH release when...
affect	19	release	These results indicate that the neurotransmitters , DOPAMINE and serotonin , AFFECT the in-vitro RELEASE of factors from the hypothalamus which control the secretion of prolactin and growth hormone .	...dopamine and serotonin , affect the in-vitro release of...
inhibit	13	release	In addition , DOPAMINE may INHIBIT RELEASE of prolactin directly from the pituitary gland , but only when secretion of prolactin is high initially .	...dopamine may inhibit release of...
caused	8	relaxations	Noradrenaline and DOPAMINE CAUSED RELAXATIONS of all tissues which were generally susceptible to antagonism by either propranolol or phentolamine in concentrations shown to antagonize the relaxations caused by isoprenaline or phenylephrine respectively .	...dopamine caused relaxations of...
caused	8	contraction	In addition , DOPAMINE , in concentrations subthreshold for relaxation , CAUSED CONTRACTION of the muscle strips which increased in intensity from the cardia to the antral region : these contractions were antagonized by phentolamine and yohimbine but were insensitive to prazosin : prazosin selectively inhibited the phenylephrine relaxations .	...dopamine , in concentrations subthreshold for relaxation , caused contraction of...
inhibit	13	release	Both pilocarpine and DOPAMINE INHIBIT the prolactin RELEASE due to cimetidine .	...dopamine inhibit the prolactin release due...
increased	1	output	During the baseline period , normoxic DOPAMINE significantly INCREASED total O2 uptake , cardiac OUTPUT , and stroke volume , and significantly decreased total vascular resistance in the control group .	...dopamine significantly increased total O2 uptake , cardiac output ,...
stimulate	25	cyclase	Serotonin and DOPAMINE STIMULATE Drosophila adenylate CYCLASE 1.3 - 1.4-fold ; at least the latter putative neurotransmitter seems to interact with a receptor distinct from the octopamine receptor .	...dopamine stimulate Drosophila adenylate cyclase 1.3...
